ID,Name,Explanation,Image,OwnerFlag,InteractFlag,1,できる
1,Ａ絵画,不思議な絵画だ…,,1,1,0,できない
2,A絵画(ブラックライト照射後),なんか浮かび上がってきた…！,,0,1,,
3,袖机(中に絵具),開きそうで開かない…,,0,1,,
4,袖机(空いた状態),中に何か入ってる…,,0,,,
5,パズル,これはなんだろう…,,0,1,,
6,パズル(解答後),もう意味がないようだ,,,,,
7,Ａ出口ドア,開かない…,,0,1,,
8,Ａ出口ドア(鍵差込後),外に出られそうだ,,,,,
9,Ａ鍵差込口,鍵穴がある,,0,1,,
10,Ａ鍵差込口(鍵差込後),もう意味がないようだ,,,,,
11,アップライトピアノ,弾いてみようか…,,0,1,,
12,シリンダー,何かに使えるかな…,,1,1,,
13,ブラックライト,ブラックライトだ,,1,1,,
14,台座ボタン,,,0,,,
15,台座,これは何だろう…,,0,,,
16,台座(物乗っけてる),,,,,,
17,水槽(水有り),水が溜まっていて中が良く見えない,,0,,,
18,水槽(水無し),水が抜けたようだ,,,,,
19,水槽(シリンダー差込後),もう意味がないようだ,,,,,
20,水槽の穴,これは何だろう…,,0,,,
21,水槽の穴(シリンダー差込後),シリンダーが刺さっている,,,,,
22,ゴール鍵Ａ,どこかで使えそうだ,,1,,,
23,Ｂ絵画,男女の絵画だ,,0,,,
24,謎１ヒント,何かの暗号だろうか…,,0,,,
25,Ｂ出口ドア,開かない…,,0,,,
26,Ｂ出口ドア(鍵差込後),外に出られそうだ,,,,,
27,Ｂ鍵差込口,鍵穴がある,,0,,,
28,Ｂ鍵差込口(鍵差込後),もう意味がないようだ…,,,,,
29,花瓶,花が生けてある,,0,,,
30,花瓶(染色後),別の色に染まったようだ…,,,,,
31,ゴール鍵Ｂ,どこかで使えそうだ,,1,,,
32,青ランプ(消灯),,,0,,,
33,青ランプ(点灯),,,,,,
34,水抜きスイッチ,何のスイッチだろう…,,0,,,
35,浄水器,水を綺麗にする装置だ,,0,,,
36,浄水器(絵具流し込み後),中の水が絵の具で染色されてる,,,,,
37,ランプヒント(紙),何かの暗号だろうか…,,1,,,
38,黄ランプ(消灯),,,0,,,
39,黄ランプ(点灯),,,,,,
40,謎１正解アイテム,作り物のりんごだ,,,,,
41,オルゴール(シリンダーなし),オルゴールがある　音は鳴らないみたいだ,,0,1,,
42,オルゴール(シリンダーあり),綺麗な音だ,,,,,
43,赤ランプ(消灯),,,,,,
44,赤ランプ(点灯),,,,,,
45,鍵１,どこかで使えそうだ,,,,,
46,鍵２,どこかで使えそうだ,,,,,
47,,,,,,,
48,,,,,,,
